No,Time,열차번호,Speed,Next Station code,Distance,PBR,ATO PWM,M1(Car2) APB,Tc1 BC pressure,Car2_VVVF-Load Weight,Car2_VVVF-Iq REAL,Car2_VVVF-Iq REF,Car2_VVVF-PWM노치,Car2_VVVF-BECU Brake Command,Car2_VVVF-P_watt,Car2_VVVF-B_watt,Car2_VVVF-MR,Car2_VVVF-PBR,Car2_VVVF-Actual PB,Car2_VVVF-V Line,Car2_VVVF-I Line,Car2_VVVF-V FC,Car2_VVVF_P_Watt(1=1kwh),Car2_VVVF_B_Watt(1=1kwh),Car2_VVVF-VVVF1 SDR Speed from BECU,Car2_VVVF-VVVF1 SDR 평균차륜경,Car2_VVVF-VVVF1 SDR WatchDog,Car2_BECU-PWM,Car2_BECU-ASP,Car2_BECU-LW,Car2_BECU-BED,Car2_BECU-BEA,Car2_BECU-ABRC,Car2_BECU-ACP,Car2_BECU-BCP,Car1_BECU-PWM,Car1_BECU-ASP,Car1_BECU-LW,Car1_BECU-BED,Car1_BECU-BEA,Car1_BECU-ABRC,Car1_BECU-ACP,Car1_BECU-BCP
1,22:22:21,2320,0．0 km/h,양정(121),0．0 m,-41．0 %,40．4 %,-4．0 kN,135．0 kPa,47．0 %,0．0 A,0．0 A,41．0 %,29．0 %,0．7 kWh,0．4 kWh,0．0 %,0．0 kN,-4．0 kN,1599．5 V,4．5 A,1602．5 V,1406492．0 kWh,887856．0 kWh,0．0 km/h,160．0 mm,123．0,42．4 %,284．0 kPa,47．2 %,28．8 %,10．0 %,10．0 %,123．0 kPa,120．0 kPa,42．4 %,296．0 kPa,39．6 %,10．0 %,10．0 %,10．0 %,141．0 kPa,135．0 kPa
2,22:22:22,2320,0．0 km/h,양정(121),0．0 m,-41．0 %,40．4 %,-4．0 kN,135．0 kPa,47．0 %,0．0 A,0．0 A,41．0 %,29．0 %,0．7 kWh,0．4 kWh,0．0 %,0．0 kN,-4．0 kN,1583．5 V,5．0 A,1587．0 V,1406492．0 kWh,887856．0 kWh,0．0 km/h,160．0 mm,128．0,42．4 %,284．0 kPa,47．2 %,28．8 %,10．0 %,10．0 %,123．0 kPa,120．0 kPa,42．4 %,296．0 kPa,39．6 %,10．0 %,10．0 %,10．0 %,141．0 kPa,135．0 kPa
3,22:22:23,2320,0．0 km/h,시청(122),0．0 m,-41．0 %,40．4 %,-4．0 kN,135．0 kPa,47．0 %,0．0 A,0．0 A,41．0 %,29．0 %,0．7 kWh,0．4 kWh,0．0 %,0．0 kN,-4．0 kN,1590．0 V,5．0 A,1593．0 V,1406492．0 kWh,887856．0 kWh,0．0 km/h,160．0 mm,133．0,42．4 %,284．0 kPa,47．2 %,28．8 %,10．0 %,10．0 %,123．0 kPa,120．0 kPa,42．4 %,296．0 kPa,39．6 %,10．0 %,10．0 %,10．0 %,141．0 kPa,135．0 kPa
4,22:22:24,2320,0．0 km/h,시청(122),0．0 m,-41．0 %,40．4 %,-4．0 kN,135．0 kPa,47．0 %,0．0 A,0．0 A,41．0 %,29．0 %,0．7 kWh,0．4 kWh,0．0 %,0．0 kN,-4．0 kN,1590．0 V,5．5 A,1596．0 V,1406492．0 kWh,887856．0 kWh,0．0 km/h,160．0 mm,138．0,42．4 %,284．0 kPa,47．2 %,28．8 %,10．0 %,10．0 %,123．0 kPa,120．0 kPa,42．4 %,296．0 kPa,39．6 %,10．0 %,10．0 %,10．0 %,141．0 kPa,135．0 kPa
5,22:22:25,2320,0．0 km/h,시청(122),0．0 m,41．0 %,40．4 %,0．0 kN,84．0 kPa,47．0 %,15．6 A,15．6 A,41．0 %,9．0 %,0．0 kWh,0．0 kWh,0．0 %,-5．0 kN,0．0 kN,1596．5 V,4．5 A,1600．2 V,1406492．0 kWh,887856．0 kWh,0．0 km/h,160．0 mm,144．0,42．4 %,284．0 kPa,47．2 %,10．0 %,10．0 %,10．0 %,57．0 kPa,87．0 kPa,42．4 %,296．0 kPa,39．6 %,10．0 %,10．0 %,10．0 %,57．0 kPa,84．0 kPa
6,22:22:26,2320,0．0 km/h,시청(122),0．0 m,41．0 %,40．4 %,20．0 kN,33．0 kPa,47．0 %,93．8 A,93．8 A,41．0 %,9．0 %,0．0 kWh,0．0 kWh,2．0 %,-27．0 kN,20．0 kN,1597．2 V,0．0 A,1599．5 V,1406492．0 kWh,887856．0 kWh,0．0 km/h,160．0 mm,148．0,42．4 %,284．0 kPa,47．2 %,10．0 %,10．0 %,10．0 %,6．0 kPa,33．0 kPa,42．4 %,296．0 kPa,39．6 %,10．0 %,10．0 %,10．0 %,12．0 kPa,33．0 kPa
7,22:22:27,2320,0．0 km/h,시청(122),0．0 m,58．0 %,59．2 %,43．0 kN,0．0 kPa,47．0 %,171．9 A,148．4 A,58．0 %,9．0 %,0．0 kWh,0．0 kWh,4．0 %,-47．0 kN,43．0 kN,1598．7 V,14．0 A,1598．0 V,1406492．0 kWh,887856．0 kWh,0．0 km/h,160．0 mm,152．0,58．8 %,284．0 kPa,47．2 %,10．0 %,10．0 %,10．0 %,0．0 kPa,0．0 kPa,61．6 %,296．0 kPa,39．6 %,10．0 %,10．0 %,10．0 %,0．0 kPa,0．0 kPa
8,22:22:28,2320,4．0 km/h,시청(122),1．0 m,90．0 %,89．8 %,67．0 kN,0．0 kPa,47．0 %,234．4 A,203．1 A,87．0 %,9．0 %,0．0 kWh,0．0 kWh,11．0 %,-73．0 kN,67．0 kN,1574．7 V,74．0 A,1576．7 V,1406492．0 kWh,887856．0 kWh,3．0 km/h,160．0 mm,159．0,90．0 %,284．0 kPa,47．2 %,10．0 %,10．0 %,10．0 %,0．0 kPa,0．0 kPa,87．6 %,296．0 kPa,39．6 %,10．0 %,10．0 %,10．0 %,0．0 kPa,0．0 kPa
9,22:22:29,2320,7．0 km/h,시청(122),4．0 m,91．0 %,89．8 %,72．0 kN,0．0 kPa,47．0 %,210．9 A,218．8 A,91．0 %,9．0 %,0．0 kWh,0．0 kWh,17．0 %,-78．0 kN,72．0 kN,1576．0 V,143．0 A,1576．0 V,1406492．0 kWh,887856．0 kWh,6．0 km/h,160．0 mm,163．0,90．0 %,284．0 kPa,47．2 %,10．0 %,10．0 %,10．0 %,0．0 kPa,0．0 kPa,90．0 %,296．0 kPa,39．6 %,10．0 %,10．0 %,10．0 %,0．0 kPa,0．0 kPa
10,22:22:30,2320,10．0 km/h,시청(122),9．0 m,91．0 %,89．8 %,72．0 kN,0．0 kPa,47．0 %,218．8 A,218．8 A,91．0 %,9．0 %,0．0 kWh,0．0 kWh,24．0 %,-78．0 kN,72．0 kN,1601．7 V,176．7 A,1598．0 V,1406492．0 kWh,887856．0 kWh,10．0 km/h,160．0 mm,168．0,90．0 %,284．0 kPa,47．2 %,10．0 %,10．0 %,10．0 %,0．0 kPa,0．0 kPa,90．0 %,296．0 kPa,39．6 %,10．0 %,10．0 %,10．0 %,0．0 kPa,0．0 kPa
